sub_title,date,Newspaper,Body Text,title
"Israeli PM says the US promised to work to remove restrictions , but Washington says bomb shipment still under review .",18 Jun 2024,al-j,israeli prime minister benjamin netanyahu has criticised the administration of us president joe biden for “ withholding weapons ” to israel in recent months as it presses its war on gaza .,netanyahu slams us for ‘ withholding ’ weapons to israel
An open letter by employees calls on the MPS to reconsider its stance on Israel in view of Israeli genocidal actions .,24 Mar 2024,al-j,"we , a diverse group of employees at the max planck society ( mps ) , germany’s top research institution , are writing this letter to express our disapproval of the position our employer has taken on israel-palestine and call for a serious change in discourse , both within the mps and in germany as a whole , about israel-palestine .",the max planck society must end its unconditional support for israel
"Analysts believe an escalation is imminent , but views vary on how things will go .",11 Apr 2024,al-j,"beirut , lebanon – israel’s decision to withdraw the majority of its troops from gaza – at least temporarily – has analysts in lebanon anticipating an intensification of some sort against lebanon’s hezbollah to israel’s north .",what will the future bring between hezbollah and israel ?
Deadly air strikes and artillery fire on ‘ Hamas targets ’ in Bureij refugee camp as Israeli ground troops storm the central Gaza region .,4 Jun 2024,al-j,this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates : ground forces invade bureij refugee camp
"Top US diplomat says that , without a strategy to govern and stablise Gaza , Hamas or something ‘ worse ’ will re-emerge after war .",29 May 2024,al-j,"the united states has once again issued a strong warning to israel over its lack of a post-war strategy for gaza , leaving open questions about how the territory will be governed and stablised .","israel cannot win gaza war without ‘ day-after ’ plan , blinken warns"
"The World Food Programme’s Palestine director on urgent aid in Gaza , where trapped civilians struggle amid a collapsed infrastructure .",23 Jun 2024,al-j,the human cost of israel’s ongoing war on gaza is becoming increasingly evident .,wfp’s matthew hollingworth on gaza : ‘ famine means failure ’
"Yusuf Ghaben was one of 12 who drowned , as starvation drives Palestinians in Gaza to take deadly risks .",29 Mar 2024,al-j,"when aid planes dropped packages into the sea off the northwest coast of the gaza strip , yusuf ghaben , a father of nine , decided to swim for them .","in gaza , palestinians drown in desperate attempt to get aid dropped in sea"
"Andrew Feinstein , a pro-Palestinian activist and politician , is running in the general election in the Labour leader’s London constituency .",10 Jun 2024,al-j,"london , england – as the united kingdom gears up for a critical general election , some britons are deciding between party loyalty and independent candidates .",‘ politics is broken ’ : a south african anti-zionist challenges uk’s starmer
"Groups of masked and armed men , called the ‘ People’s Protection Committee ’ are patrolling Rafah , on the lookout for black market pricing . The group , set up by armed factions and the Hamas-led Interior Ministry , says they’re taking over the role of municipal police who have disbanded following Israeli strikes on their forces .",7 Mar 2024,al-j,,people’s protection force patrols gaza market
"Hezbollah has confirmed the death of Ismail al-Zin , who Israeli army says was commander of antitank missile unit .",31 Mar 2024,al-j,this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates : israeli army says hezbollah commander killed
"China’s role in the Middle East is growing , but can it be a peacemaker between the Palestinians and Israelis ?",9 Jun 2024,al-j,"after china brokered a saudi arabia-iran détente last year , expectations arose that it could parlay its economic clout into a bigger diplomatic role on the palestine-israel issue .",israel’s war on gaza : the view from china
Sources tell Al Jazeera the White House cancelled Ramadan meal after many Muslim invitees declined to attend .,2 Apr 2024,al-j,"washington , dc – the white house has cancelled a ramadan iftar meal after several muslim americans declined the invitation in protest of president joe biden’s support for israel’s war on gaza , according to two people familiar with the matter .",why biden’s white house iftar unravelled amid gaza war
"Video captures the moment Israeli forces bomb a tent where displaced Palestinians and journalists were sheltering inside the Al-Aqsa Martyrs Hospital compound in Deir el-Balah , central Gaza Strip .",31 Mar 2024,al-j,,the moment israeli forces bomb tent at central gaza hospital
"Two people , one who was in the besieged hospital and one who lived nearby , tell of their ordeal to escape .",1 Apr 2024,al-j,"deir el-balah , gaza – mohammad sukkar is safe now – or safer – but even as the team at al-aqsa martyrs hospital in deir el-balah work to help him , his eyes fill with tears as he recounts his experience in al-shifa hospital .","as those fleeing al-shifa get to south gaza , they recount israeli torture"
Does the West risk charges of complicity by supplying weapons to Israel in light of its plausible genocide in Gaza ?,18 Mar 2024,al-j,"as lawmakers across much of the west debate the extent to which israel may be hampering the passage of life-saving aid into gaza , the weapons exports that underpin much of israel’s war on the besieged enclave continue to flow .",the west is giving israel weapons while discussing delivering aid to gaza
"Iran has launched a massive aerial attack on Israel , two weeks after a deadly strike on its consulate in Syria .",14 Apr 2024,al-j,"iran unleashed a barrage of missiles and drones on saturday night and early on sunday , targeting israel in retaliation for april 1’s suspected israeli strike on its consulate in damascus , which killed 13 people .","iran attacks israel with over 300 drones , missiles : what you need to know"
"On International Women’s Day , four women in Gaza reflect on life in the midst of a war .",8 Mar 2024,al-j,"deir el-balah , gaza strip – on international women’s day , the women of gaza are continuing their daily struggle to care for their children and families , and to stay alive . four women who have been displaced by israel’s war on gaza since october 7 , along with their families , talked to al jazeera about their lives now .",‘ i yearn for the girl i used to be ’ : gaza women tell their stories
Students say ‘ barrier of fear ’ has been broken as encampments take over public spaces in defence of Palestinians .,2 May 2024,al-j,"montreal , canada – sitting on a bench in the heart of the mcgill university campus , farrah says that she and her fellow student protesters want their school to listen .",‘ greater than an encampment ’ : why gaza student protests strike a chord
Knesset passes law paving way for ban on Al Jazeera in Israel .,1 Apr 2024,al-j,this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates : new israeli law paves way for al jazeera ban
Egypt says it will formally support South Africa’s genocide case against Israel at the International Court of Justice ( ICJ ) . Israel’s former foreign minister tells Al Jazeera it represents an ‘ unbelievable diplomatic blow to Israel ’ .,12 May 2024,al-j,,egypt deals ‘ diplomatic blow ’ to israel by joining icj genocide case
"The initial assessment , which describes the level of destruction in Gaza as ‘ unprecedented ’ , is likely to be an underestimate of the real damages , losses and needs in the Palestinian enclave .",2 Apr 2024,al-j,"the cost of damage to critical infrastructure in the first four months of israel’s continuing war on gaza is estimated at about $ 18.5bn , a new report by the world bank and the united nations has found .",gaza infrastructure damages estimated at $ 18.5bn in un-world bank report
"Israel is attacking Gaza’s hospitals in violation of international law , but is it part of a pattern going back to 1948 ?",1 Jun 2024,al-j,"hospitals are supposed to be immune from attack in times of war but israel has repeatedly bombed and shelled them since october 7 , 2023 . this film looks at israel’s destruction of gaza’s hospitals in the context of its historical expansion at the expense of the palestinian population , going back to 1948 . the israeli army cut off water , power , fuel and medical supplies to gaza and has attacked most of its hospitals . it claims that al-shifa hospital shielded a hamas command centre and attacked it despite the hundreds of civilians sheltering there – but produced little evidence to support that claim . the alleged war crimes that the international criminal court is seeking arrest warrants for on both sides include israel’s deliberate targeting of civilians , many of whom have taken shelter in gaza’s hospitals .",gaza : the war on hospitals
Israeli warplanes pound southern Gaza as mediation efforts to end Israel’s war on the Palestinian enclave appear to be stalling .,24 Mar 2024,al-j,"here’s how things stand on sunday , march 24 , 2024 :","is­rael’s war on gaza : list of key events , day 170"
A breakdown by country of the UN General Assembly vote on a resolution for Palestinian to become a full UN member .,10 May 2024,al-j,the united nations general assembly ( unga ) has overwhelmingly voted to support a palestinian bid to become a full un member by recognising it as qualified to join and recommending the un security council “ reconsider the matter favourably ” .,un backs palestine’s bid for membership : how did your country vote ?
Australia to restore $ 3.8m in funding to embattled UN agency for Palestinian refugees and pledges additional Gaza aid .,15 Mar 2024,al-j,australia says it will restore funding to the united nations agency for palestinian refugees weeks after it lost millions of dollars in international support following allegations by israel that some of its staff in the gaza strip were involved in the october 7 hamas-led attacks .,australia to unfreeze unrwa funding as israel attacks gaza aid seekers
Qassam Brigades fighters blow up a tank in Rafah and pound army base with mortar rounds in Gaza City and Israeli military continues to take losses .,20 Jun 2024,al-j,this live page is now closed . you can continue to follow our coverage of the war in gaza here .,"israel war on gaza updates : israelis hit with roadside bomb , mortar fire"
Estimated 200 aid trucks still fall far short of what the UN says is a minimum of 500-600 trucks required daily to feed millions of Palestinians on the brink of starvation .,26 May 2024,al-j,aid trucks are entering gaza through karem abu salem crossing in the south as the living conditions of hundreds of thousands of palestinians continue to deteriorate under israel’s relentless war on the palestinian enclave .,aid trucks enter gaza after weeks as israeli attacks continue across strip
